username,roles,account_status,profile,risk_level,default_tablespace,created,recommendation
SYSTEM,"DBA, SELECT_CATALOG_ROLE, EXECUTE_CATALOG_ROLE",OPEN,DEFAULT,CRITICAL,SYSTEM,2023-01-15 09:30:00,Revoke unnecessary privileges immediately
APP_USER,"CONNECT, RESOURCE",OPEN,APP_PROFILE,MEDIUM,USERS,2024-03-10 14:22:00,Regular review of access rights
READ_ONLY,CONNECT,OPEN,DEFAULT,LOW,USERS,2024-06-05 11:15:00,Standard monitoring
ETL_SERVICE,"CONNECT, RESOURCE, IMP_FULL_DATABASE",OPEN,ETL_PROFILE,HIGH,ETL_DATA,2024-02-20 08:45:00,"Review and reduce privileges, implement monitoring"
ADMIN_BACKUP,"DBA, EXP_FULL_DATABASE",LOCKED,DEFAULT,CRITICAL,SYSTEM,2023-11-30 16:30:00,Revoke unnecessary privileges immediately
ANALYST_JOHN,"CONNECT, SELECT_ANY_TABLE",OPEN,ANALYST_PROFILE,HIGH,USERS,2024-04-12 10:20:00,"Review and reduce privileges, implement monitoring"
TEMP_CONTRACTOR,"CONNECT, RESOURCE",EXPIRED,TEMPORARY,MEDIUM-HIGH,TEMP_TS,2024-09-01 13:40:00,Apply least privilege principle
REPORT_GEN,CONNECT,OPEN,DEFAULT,LOW,USERS,2024-07-22 09:10:00,Standard monitoring
DEV_TEST,"CONNECT, RESOURCE, CREATE_SESSION",OPEN,DEVELOPER,MEDIUM,DEV_DATA,2024-05-18 15:25:00,Regular review of access rights
AUDIT_USER,"CONNECT, AUDIT_ADMIN",OPEN,AUDIT_PROFILE,HIGH,AUDIT_DATA,2024-01-30 08:00:00,"Review and reduce privileges, implement monitoring"
WEB_SERVICE,CONNECT,OPEN,SERVICE_ACCOUNT,MEDIUM,USERS,2024-08-14 12:35:00,Regular review of access rights
LEGACY_APP,"CONNECT, RESOURCE, UNLIMITED_TABLESPACE",OPEN,LEGACY,HIGH,LEGACY_TS,2023-08-05 10:50:00,"Review and reduce privileges, implement monitoring"
DATA_SCIENTIST,"CONNECT, RESOURCE, CREATE ANY TABLE",OPEN,DATA_SCIENCE,MEDIUM-HIGH,DATA_SCIENCE,2024-10-08 11:45:00,Apply least privilege principle
MONITORING,"CONNECT, SELECT ANY DICTIONARY",OPEN,MONITOR_PROFILE,HIGH,USERS,2024-02-25 14:15:00,"Review and reduce privileges, implement monitoring"
API_GATEWAY,CONNECT,OPEN,SERVICE_ACCOUNT,MEDIUM,USERS,2024-11-12 16:40:00,Regular review of access rights
